"Source:","E:\synth prj\MSK-013\complexvco.kicad_sch"
"Date:","14.10.2022 17:26:25"
"Tool:","Eeschema (6.0.6)"
"Generator:","E:\KICAD\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","284"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Voltage"
"","","R45","130k","mskala:RUS","mskala:R4valmsk","",""
"","","R46","50k","mskala:POTUS","mskala:3296Pmsk","",""
"","","R47","270","mskala:RUS","mskala:R4valmsk","",""
"","","R48","100","mskala:RUS","mskala:R4valmsk","",""
"","","R49","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R50","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R51","10k","mskala:RUS","mskala:R4valmsk","",""
"","","R52","8.2k","mskala:RUS","mskala:R4valmsk","",""
"","","R53","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R54","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R55","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R56","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R57","10k","mskala:RUS","mskala:R4valmsk","",""
"","","R58","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R59","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R60","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R61","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R62","24k","mskala:RUS","mskala:R4valmsk","",""
"","","R63","10k","mskala:POTUS","mskala:3386Pmsk","",""
"","","R64","36k","mskala:RUS","mskala:R4valmsk","",""
"","","R65","12k","mskala:RUS","mskala:R4valmsk","",""
"","","R66","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R67","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R68","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R69","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R70","56k","mskala:RUS","mskala:R4valmsk","",""
"","","R71","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R72","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R73","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R74","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R75","270","mskala:RUS","mskala:R4valmsk","",""
"","","R76","100","mskala:RUS","mskala:R4valmsk","",""
"","","R77","10k","mskala:RUS","mskala:R4valmsk","",""
"","","R78","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R79","270","mskala:RUS","mskala:R4valmsk","",""
"","","R80","100","mskala:RUS","mskala:R4valmsk","",""
"","","R81","1M","mskala:RUS","mskala:R4valmsk","",""
"","","R82","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R83","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R84","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R85","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R86","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R87","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R88","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R89","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R90","68k","mskala:RUS","mskala:R4valmsk","",""
"","","R91","27k","mskala:RUS","mskala:R4valmsk","",""
